Customer Identity,First Policy´s Year,Customer Age,Educational Degree,Gross Monthly Salary,Geographic Living Area,Has Children (Y=1),Customer Monetary Value,Claims Rate,Premiums in LOB: Motor,Premiums in LOB: Household,Premiums in LOB: Health,Premiums in LOB:  Life,Premiums in LOB: Work Compensations
2619,1992,70,2 - High School,7324,2,0,282.39,0.52,102.24,63.90,162.92,112.91,205.15
2620,1990,38,4 - PhD,3547,4,1,490.09,0.30,350.62,167.80,212.15,18.67,-11.00
2621,1996,29,2 - High School,4353,1,1,8.68,0.94,148.25,38.35,252.16,84.35,79.68
2622,1986,67,2 - High School,7226,4,0,-112.46,1.12,234.60,210.60,193.48,29.34,87.46
2623,1994,51,3 - BSc/MSc,5824,4,1,-33.66,1.02,504.43,-20.55,67.79,11.89,11.00
2624,1981,25,3 - BSc/MSc,4388,1,1,322.62,0.57,347.62,279.50,135.36,1.89,36.23
2625,1995,45,4 - PhD,4357,1,1,-19.66,0.99,449.64,4.45,122.69,11.89,11.00
2626,1977,54,3 - BSc/MSc,6589,4,1,-42.11,1.03,489.98,89.45,90.35,6.89,-5.11
2627,1975,64,3 - BSc/MSc,5822,2,1,431.41,0.37,288.61,167.80,236.71,19.56,16.56
2628,1986,42,2 - High School,5069,4,1,553.78,0.37,268.94,407.30,151.25,23.67,73.79
2629,1985,74,4 - PhD,6643,4,0,131.58,0.78,164.81,137.80,363.18,20.67,18.78
2630,1991,53,3 - BSc/MSc,4697,1,1,45.45,0.89,471.31,74.45,119.91,5.00,-3.00
2631,1989,36,1 - Basic,3531,1,1,185.04,0.77,216.82,426.20,137.58,78.57,71.79
2632,1975,48,2 - High School,5565,1,1,504.10,0.10,520.43,4.45,56.01,3.00,5.67
2633,1983,54,2 - High School,5121,1,1,76.81,0.85,362.40,92.25,141.25,37.23,27.67
2634,1988,77,3 - BSc/MSc,8245,1,0,382.41,0.36,419.30,53.90,144.25,13.78,1.89
2635,1977,35,4 - PhD,2683,1,1,-19.00,0.99,476.09,19.45,68.57,14.78,20.78
2636,1997,40,2 - High School,4447,4,1,545.01,0.24,347.40,234.50,170.81,-7.00,4.89
2637,1981,29,2 - High School,3521,1,1,-135.13,1.11,67.68,461.75,178.59,40.34,218.15
2638,1979,59,3 - BSc/MSc,5170,1,1,34.69,0.90,372.85,47.80,160.14,11.89,32.56
2639,1992,45,3 - BSc/MSc,4629,1,1,-29.10,1.01,544.99,-0.55,37.23,9.89,-1.00
2640,1994,54,3 - BSc/MSc,4361,2,1,403.19,0.42,299.28,162.25,146.36,94.35,34.56
2641,1977,24,2 - High School,2601,1,0,-97.46,1.06,47.23,664.00,309.28,81.46,38.23
2642,1992,59,2 - High School,6028,4,1,44.68,0.90,246.27,98.35,251.38,33.45,36.23
2643,1987,39,2 - High School,3830,3,1,-14.33,0.98,385.63,14.45,121.58,10.67,46.23
2644,1980,74,1 - Basic,8552,4,0,306.62,0.50,303.17,93.90,188.48,28.45,52.23
2645,1980,70,4 - PhD,8048,1,0,399.75,0.27,430.86,18.35,134.58,1.00,-6.11
2646,1992,56,1 - Basic,6970,2,1,-16.22,0.99,446.75,38.90,63.68,56.90,8.78
2647,1985,64,3 - BSc/MSc,7056,4,1,-11.22,0.98,449.53,69.45,104.91,5.78,13.78
2648,1992,35,3 - BSc/MSc,5207,4,1,-24.89,1.00,294.61,166.70,173.81,48.12,48.23
2649,1993,35,3 - BSc/MSc,3948,4,1,325.19,0.37,361.29,-11.10,199.15,9.89,
2650,1993,39,3 - BSc/MSc,4200,1,1,49.56,0.89,533.21,89.45,58.01,8.89,14.89
2651,1976,53,3 - BSc/MSc,5272,1,1,3.67,0.96,451.64,83.35,111.02,21.67,7.00
2652,1985,47,2 - High School,4092,1,1,511.77,0.13,512.32,34.45,50.01,11.89,10.00
2653,1996,54,2 - High School,6475,3,1,625.56,0.11,438.75,192.25,56.90,19.56,24.34
2654,1974,62,1 - Basic,7128,1,1,-25.00,1.00,91.13,735.70,135.58,151.14,62.90
2655,1993,56,2 - High School,4428,4,1,555.21,0.13,528.21,55.00,60.01,11.89,14.89
2656,1978,21,2 - High School,1871,3,1,-70.34,1.04,32.56,761.80,267.94,117.80,45.34
2657,1986,50,3 - BSc/MSc,3822,4,1,456.08,0.29,331.62,99.45,197.37,23.45,26.56
2658,1984,58,2 - High School,6903,2,1,361.75,0.29,432.97,-60.00,141.47,9.89,23.67
2659,1980,47,2 - High School,4566,4,1,-93.90,1.09,397.74,143.35,127.69,52.12,16.78
2660,1977,54,1 - Basic,6705,3,1,62.81,0.86,233.49,72.25,184.59,56.01,71.57
2661,1981,20,3 - BSc/MSc,3096,1,1,-84.79,1.10,240.60,136.70,140.47,59.79,
2662,1982,38,3 - BSc/MSc,2643,4,1,471.76,0.16,490.87,5.00,88.35,0.89,5.89
2663,1985,64,2 - High School,6902,2,1,-4.44,0.97,353.40,108.90,184.70,19.56,20.56
2664,1979,24,2 - High School,1793,1,1,707.69,0.38,82.46,751.25,199.37,18.56,138.36
2665,1989,28,3 - BSc/MSc,2795,4,1,173.69,0.72,269.83,163.35,251.16,19.67,15.67
2666,1989,28,2 - High School,2937,1,1,92.69,0.83,115.80,156.15,204.15,117.69,93.13
2667,1992,49,3 - BSc/MSc,5435,3,1,584.77,0.09,531.21,89.45,41.23,10.78,-0.11
2668,1995,53,2 - High School,6545,4,1,550.12,0.30,272.72,313.40,104.91,56.90,67.90
2669,1985,29,2 - High School,3045,4,1,207.60,0.72,188.37,342.30,213.93,44.23,43.01
2670,1988,73,3 - BSc/MSc,7569,1,0,179.26,0.69,187.59,101.70,319.95,35.34,16.67
2671,1978,66,2 - High School,5598,4,1,129.59,0.80,345.51,225.60,114.80,-0.11,70.79
2672,1992,28,2 - High School,2279,2,,356.40,0.54,168.03,265.60,273.94,68.79,52.23
2673,1983,42,3 - BSc/MSc,3721,3,1,389.97,0.34,399.41,44.45,155.25,12.78,15.56
2674,1991,71,1 - Basic,7106,4,0,556.54,0.27,277.83,236.70,219.82,38.34,28.67
2675,1986,20,3 - BSc/MSc,2266,3,0,214.16,0.59,137.36,14.45,206.04,168.92,55.79
2676,1982,62,3 - BSc/MSc,6278,4,1,-92.90,1.10,359.29,78.90,144.36,,67.90
2677,1983,71,3 - BSc/MSc,7896,4,0,-54.56,1.05,222.93,57.80,285.61,23.67,53.23
2678,1990,70,1 - Basic,6929,4,0,313.51,0.54,55.79,201.15,317.95,81.57,86.57
2679,1979,73,3 - BSc/MSc,7637,2,0,-25.22,1.00,386.74,14.45,178.59,-0.11,15.89
2680,1991,68,2 - High School,5983,3,0,-25.00,1.00,98.24,60.00,352.29,120.80,1.78
2681,1998,19,2 - High School,3125,4,1,449.87,0.44,175.59,328.40,90.24,111.91,146.47
2682,1982,26,2 - High School,3111,4,1,120.14,0.89,190.59,903.50,125.58,31.34,76.79
2683,1995,76,1 - Basic,8378,3,0,238.95,0.52,294.50,-30.55,137.47,72.68,76.35
2684,1983,46,3 - BSc/MSc,4906,3,1,-38.67,1.02,388.63,53.35,142.25,13.67,20.78
2685,1994,38,3 - BSc/MSc,4058,2,1,383.53,0.29,389.63,-5.55,164.03,23.67,0.78
2686,1989,72,3 - BSc/MSc,7446,4,0,-25.00,1.00,434.75,201.70,76.46,13.67,24.67
2687,1983,41,3 - BSc/MSc,4039,3,1,477.65,0.24,502.65,74.45,67.68,7.89,12.89
2688,1981,17,1 - Basic,3781,4,1,149.71,0.79,62.90,303.40,145.14,128.69,178.59
2689,1989,40,2 - High School,4266,4,1,-25.00,1.00,431.86,18.35,86.24,20.56,21.67
2690,1992,37,3 - BSc/MSc,4564,4,1,23.34,0.93,434.08,83.90,136.58,,35.56
2691,1976,57,3 - BSc/MSc,5181,1,1,-29.00,1.00,349.29,363.40,90.46,74.68,4.00
2692,1994,21,1 - Basic,1963,1,1,945.30,0.22,18.56,834.05,83.46,190.48,117.69
2693,1986,30,3 - BSc/MSc,3726,2,1,142.58,0.76,238.71,113.90,279.83,35.23,18.45
2694,1981,52,2 - High School,6085,4,1,79.91,0.82,197.37,23.35,147.14,104.91,104.91
2695,1988,55,3 - BSc/MSc,4971,1,0,577.99,0.12,479.87,133.90,71.57,4.78,-6.00
2696,1992,57,2 - High School,4288,4,1,35.00,0.91,435.75,60.00,98.13,31.45,11.78
2697,1978,51,2 - High School,5818,4,1,88.57,0.84,391.63,147.80,136.58,12.78,21.45
2698,1995,51,3 - BSc/MSc,5061,4,1,244.83,0.72,269.83,486.20,119.69,53.12,39.12
2699,1974,68,3 - BSc/MSc,6931,1,0,89.14,0.83,360.29,102.25,178.59,4.89,11.89
2700,1983,65,2 - High School,7282,4,0,716.92,0.09,403.52,279.50,65.90,7.78,58.90
2701,1989,66,3 - BSc/MSc,7555,4,1,471.64,0.25,415.41,74.45,159.03,6.78,2.89
2702,1979,71,1 - Basic,8093,3,0,74.13,0.89,223.93,349.50,209.93,42.23,56.90
2703,1993,31,3 - BSc/MSc,3056,4,1,214.17,0.71,163.81,332.85,239.38,-1.11,90.35
2704,,39,1 - Basic,4210,2,,302.62,0.54,299.28,167.25,162.92,28.34,51.01
2705,1997,46,3 - BSc/MSc,4170,4,1,348.19,0.34,385.96,-20.55,133.36,37.23,29.45
2706,1978,,3 - BSc/MSc,7227,4,0,356.96,0.54,381.96,274.50,117.91,35.45,12.89
2707,1991,57,2 - High School,6984,4,1,347.97,0.33,378.85,-5.55,141.25,-0.11,38.12
2708,1985,70,3 - BSc/MSc,7077,3,0,-33.78,1.01,152.03,251.15,308.28,28.34,37.12
2709,1996,38,3 - BSc/MSc,4003,1,1,-74.23,1.08,321.84,8.90,207.15,22.56,26.67
2710,1993,31,2 - High School,3237,4,1,294.72,0.55,156.92,162.80,199.15,148.14,37.23
2711,1991,70,3 - BSc/MSc,7747,1,0,-33.33,1.01,225.71,43.90,245.27,50.01,52.23
2712,1983,79,3 - BSc/MSc,7956,4,0,-103.35,1.09,261.16,382.85,170.92,26.45,51.90
2713,1983,61,3 - BSc/MSc,6486,4,1,150.15,0.77,420.30,210.60,87.46,35.45,13.67
2714,1979,75,4 - PhD,8451,1,0,-39.67,1.02,306.17,133.90,237.60,14.67,12.78
2715,1987,51,3 - BSc/MSc,6583,4,1,-83.00,1.11,537.99,-55.00,46.12,-3.00,3.00
2716,1984,28,2 - High School,3392,1,1,96.58,0.87,156.14,354.50,295.61,68.79,34.56
2717,1987,35,4 - PhD,4129,2,1,299.06,0.59,312.17,216.70,217.93,11.89,25.67
2718,1994,48,2 - High School,5887,1,1,-25.78,1.00,267.05,138.35,232.60,41.23,40.45
2719,1995,53,4 - PhD,5007,4,1,-70.33,1.08,540.10,-15.00,46.01,3.00,-5.11
2720,1993,72,2 - High School,8309,3,0,248.95,0.69,95.35,386.75,282.61,63.90,48.90
2721,1983,74,2 - High School,7555,4,0,-223.25,1.36,110.80,-25.00,287.61,35.34,148.25
2722,1996,45,3 - BSc/MSc,5191,4,1,375.41,0.32,384.85,0.00,163.03,24.56,15.56
2723,1978,20,2 - High School,2265,3,1,157.02,0.80,69.68,393.95,241.60,147.36,64.57
2724,1979,50,2 - High School,6332,4,0,-14.11,0.98,475.20,103.35,83.46,17.78,10.89
2725,1995,29,3 - BSc/MSc,1043,4,1,203.04,0.72,279.61,270.05,188.48,54.01,12.00
2726,1989,39,2 - High School,3193,3,1,-73.01,1.06,150.36,211.15,348.40,27.45,20.56
2727,1984,51,2 - High School,5653,4,1,409.53,0.35,456.31,107.80,73.57,12.78,21.78
2728,1985,59,2 - High School,6572,4,1,180.93,0.73,353.40,206.15,153.25,38.34,-0.22
2729,,62,,6399,2,0,109.25,0.77,211.93,14.45,275.72,77.68,11.67
2730,1981,52,3 - BSc/MSc,5675,4,1,-27.33,1.00,528.99,-5.00,46.12,-1.11,11.00
2731,1994,47,2 - High School,4045,1,1,-25.00,1.00,328.06,323.95,93.24,76.57,26.34
2732,1979,53,2 - High School,5646,3,1,359.08,0.35,384.63,-0.55,158.14,17.78,28.67
2733,1976,50,3 - BSc/MSc,5219,3,1,-28.00,1.01,516.21,10.00,51.90,3.00,7.89
2734,1989,21,2 - High School,761,1,0,532.34,0.41,38.45,425.65,341.73,29.56,102.13
2735,1983,54,2 - High School,6124,4,1,-105.78,1.15,483.87,-60.00,85.35,6.00,14.78
2736,1980,65,3 - BSc/MSc,7407,3,1,354.17,0.44,316.06,94.45,139.47,45.12,76.46
2737,1978,29,4 - PhD,3040,1,1,402.07,0.33,372.18,55.00,205.15,2.89,-0.11
2738,1983,56,3 - BSc/MSc,6192,3,1,278.39,0.54,304.50,108.35,239.49,-1.11,11.56
2739,1997,57,2 - High School,5596,4,1,298.06,0.60,141.36,261.15,219.82,72.57,109.13
2740,1982,53,2 - High School,3931,3,1,499.66,0.21,403.30,107.80,112.02,13.78,27.34
2741,1986,54,2 - High School,5315,3,1,276.39,0.53,220.82,82.80,233.49,91.35,10.78
2742,1996,61,1 - Basic,6463,4,1,-6.66,0.97,263.05,43.90,138.47,79.57,105.13
2743,1978,75,3 - BSc/MSc,7295,1,0,239.27,0.73,133.47,471.75,245.27,18.78,112.02
2744,1982,50,3 - BSc/MSc,3911,4,1,-23.43,1.00,466.42,-5.55,92.24,15.67,12.67
2745,1991,36,3 - BSc/MSc,2846,2,1,394.19,0.28,336.73,18.35,103.91,82.46,43.23
2746,1984,24,3 - BSc/MSc,2852,2,1,865.60,0.21,65.79,659.00,175.81,76.57,155.03
2747,1995,62,3 - BSc/MSc,6302,3,1,212.92,0.71,413.41,271.15,96.35,13.78,33.23
2748,1989,65,3 - BSc/MSc,7235,3,0,369.96,0.37,344.73,57.80,173.70,0.89,50.23
2749,1990,36,3 - BSc/MSc,2403,3,1,-14.10,0.98,325.06,48.35,219.82,32.45,5.00
2750,1988,43,2 - High School,5308,3,1,389.19,0.31,425.08,24.45,119.69,10.89,20.45
2751,1994,65,2 - High School,6828,4,1,-83.01,1.08,354.40,191.15,90.46,77.46,19.45
2752,1994,30,3 - BSc/MSc,3338,3,1,568.00,0.18,433.97,152.25,115.91,6.78,15.89
2753,1994,71,4 - PhD,7892,3,0,221.27,0.64,282.72,108.35,246.38,13.78,36.45
2754,1981,49,1 - Basic,4726,1,1,-21.00,0.99,345.51,101.70,169.70,4.00,34.45
2755,1996,22,2 - High School,3116,2,0,596.11,0.32,103.13,383.40,193.48,93.13,134.58
2756,1990,71,3 - BSc/MSc,7581,4,0,-53.56,1.04,398.74,153.35,162.03,9.78,18.78
2757,1987,36,1 - Basic,3093,3,1,141.03,0.76,166.03,131.70,294.50,64.79,34.23
2758,1982,64,3 - BSc/MSc,6138,3,1,354.74,0.41,359.40,87.25,178.81,26.45,-6.11
2759,1989,33,3 - BSc/MSc,2269,4,1,22.79,0.93,480.09,33.90,94.35,18.78,13.89
2760,1985,24,2 - High School,1836,4,1,117.80,0.80,125.69,142.80,128.58,153.14,148.03
2761,1988,75,3 - BSc/MSc,7447,4,0,622.67,0.20,274.72,280.60,165.81,64.90,27.45
2762,1989,51,3 - BSc/MSc,5521,3,1,426.32,0.14,515.32,-60.00,67.79,-2.00,2.00
2763,1979,56,3 - BSc/MSc,6691,3,1,352.29,0.53,383.96,241.70,90.46,82.57,6.67
2764,1980,34,3 - BSc/MSc,2400,1,1,-48.56,1.04,291.50,107.80,212.93,23.56,30.45
2765,1978,45,3 - BSc/MSc,4116,1,1,430.07,0.31,392.85,70.00,178.59,8.78,7.78
2766,1981,30,3 - BSc/MSc,3722,3,1,74.59,0.81,109.02,-45.55,315.95,96.13,49.01
2767,1997,71,2 - High School,6497,1,0,463.65,0.36,258.05,230.60,213.15,43.12,23.45
2768,1992,21,1 - Basic,1445,2,1,-286.38,1.18,46.01,1041.85,97.24,-6.00,255.38
2769,1989,46,2 - High School,4616,3,1,15.45,0.94,493.87,54.45,87.35,-2.00,-8.00
2770,1986,27,3 - BSc/MSc,1522,4,1,-6.22,0.98,244.27,251.15,240.38,34.45,15.67
2771,,32,,2945,4,1,443.74,0.31,386.74,104.45,156.92,5.00,27.45
2772,1991,25,3 - BSc/MSc,2545,4,1,371.74,0.39,375.07,77.80,146.14,16.78,38.45
2773,1993,55,1 - Basic,6744,1,1,803.93,0.34,165.92,825.15,80.46,23.45,162.14
2774,1986,74,3 - BSc/MSc,7925,4,0,19.12,0.93,379.96,64.45,126.58,37.34,44.12
2775,1979,18,1 - Basic,1016,4,1,360.28,0.66,62.01,654.00,90.35,162.03,168.70
2776,1975,75,3 - BSc/MSc,6414,3,0,108.70,0.81,239.60,156.15,276.83,12.89,22.45
2777,1991,24,2 - High School,3751,4,1,51.67,0.90,100.02,241.70,286.61,22.56,142.47
2778,1985,64,3 - BSc/MSc,6626,1,0,450.43,0.30,358.18,122.25,159.14,5.00,30.23
2779,1979,33,2 - High School,3574,4,1,10.23,0.95,245.49,207.25,274.83,38.23,-1.00
2780,1990,16,1 - Basic,2293,4,1,-3.33,0.98,46.12,406.20,203.15,236.71,21.67
2781,1996,45,2 - High School,4860,1,1,342.74,0.38,311.17,-5.55,224.71,34.45,27.67
2782,1992,54,2 - High School,5012,1,1,-25.00,1.00,234.71,92.80,193.48,52.90,96.35
2783,1991,53,4 - PhD,6370,3,1,-21.00,0.99,550.77,20.00,41.34,1.00,4.00
2784,1980,55,2 - High School,5904,3,1,109.58,0.83,173.81,288.40,290.50,3.89,43.12
2785,1979,49,2 - High School,5251,4,1,1147.32,0.15,191.37,982.95,122.58,-2.00,79.46
2786,1993,20,1 - Basic,2445,1,1,1160.34,0.27,108.91,1300.25,28.45,114.91,78.68
2787,1995,52,3 - BSc/MSc,5193,4,1,-93.32,1.12,489.98,-45.55,83.57,17.78,22.78
2788,1985,66,3 - BSc/MSc,6241,1,0,333.51,0.57,148.36,270.05,223.82,88.46,97.24
2789,1977,59,3 - BSc/MSc,5850,4,1,43.35,0.89,363.40,68.35,189.37,5.78,1.78
2790,1977,36,2 - High School,3911,3,1,25.01,0.91,366.96,4.45,141.25,16.67,33.34
2791,1994,35,3 - BSc/MSc,2783,1,1,371.75,0.29,428.97,-15.55,132.47,10.89,5.78
2792,1988,66,1 - Basic,6258,4,0,58.35,0.94,68.68,1010.20,109.91,109.02,94.35
2793,1987,74,1 - Basic,9317,1,0,53.46,0.93,86.35,711.80,142.36,105.02,112.91
2794,1986,54,2 - High School,5692,1,1,62.36,0.87,449.75,117.25,88.35,26.56,-1.11
2795,1996,26,2 - High School,3697,1,1,339.63,0.53,145.36,235.05,285.61,44.12,59.90
2796,1982,35,2 - High School,3621,1,1,260.95,0.64,305.17,288.95,162.92,3.00,43.12
2797,1978,51,3 - BSc/MSc,5905,1,1,-34.89,1.01,497.76,127.25,45.01,9.89,2.00
2798,1992,23,2 - High School,1289,2,1,-22.11,1.00,96.35,1123.55,141.47,134.58,2.89
2799,1996,79,4 - PhD,8855,4,0,351.43,0.31,429.97,-40.55,129.47,11.89,15.67
2800,1978,45,3 - BSc/MSc,3661,1,1,432.77,0.16,540.88,-50.00,33.23,1.00,16.89
2801,1981,51,3 - BSc/MSc,5711,1,1,543.89,0.13,480.20,87.80,84.35,2.89,2.00
2802,1988,75,3 - BSc/MSc,7855,3,0,138.81,0.77,214.82,190.05,206.15,51.01,50.01
2803,1991,36,2 - High School,5141,1,1,329.18,0.67,323.95,570.65,133.58,19.56,10.67
2804,1975,19,2 - High School,2315,4,1,841.73,0.20,156.14,612.35,153.25,63.90,98.24
2805,1981,45,2 - High School,5074,3,1,471.75,0.31,340.73,128.35,197.26,30.56,27.67
2806,1977,31,3 - BSc/MSc,4685,1,1,623.79,0.16,412.30,235.60,96.13,0.89,31.56
2807,1995,71,3 - BSc/MSc,8485,4,0,-40.11,1.02,247.38,68.35,240.49,70.79,12.67
2808,1977,76,2 - High School,6683,4,0,341.18,0.51,142.36,211.15,202.15,38.34,155.03
2809,1986,60,3 - BSc/MSc,6223,2,1,277.17,0.58,302.17,153.35,181.59,32.34,48.23
2810,1994,73,2 - High School,8169,4,0,-223.37,1.27,197.26,171.15,155.14,76.57,121.80
2811,1977,21,1 - Basic,1387,4,1,327.50,0.58,66.90,285.60,87.24,37.23,352.51
2812,1978,26,3 - BSc/MSc,2568,2,0,-75.90,1.07,96.02,186.70,313.17,78.57,50.90
2813,1994,55,3 - BSc/MSc,5232,1,1,39.47,0.89,432.08,42.80,76.46,13.67,35.34
2814,1995,29,2 - High School,3531,4,1,645.90,0.29,239.71,451.75,202.26,17.56,38.12
2815,1977,57,2 - High School,6016,4,1,332.09,0.35,446.53,-25.55,89.35,27.56,10.78
2816,1984,34,3 - BSc/MSc,2918,4,1,5.34,0.97,183.48,644.00,196.37,54.01,30.34
2817,1978,19,1 - Basic,948,2,1,-25.00,1.00,60.79,953.50,74.46,140.36,113.69
2818,1996,61,3 - BSc/MSc,8192,4,1,-35.00,1.01,369.07,254.50,124.58,24.45,-5.00
2819,1997,47,3 - BSc/MSc,4135,3,1,518.43,0.15,517.43,35.00,77.68,-1.00,7.00
2820,1986,40,2 - High School,4149,1,1,348.76,0.30,427.19,-30.55,121.58,11.67,7.67
2821,1993,62,3 - BSc/MSc,6506,1,1,465.87,0.29,364.07,152.25,142.47,25.45,11.67
2822,1993,24,2 - High School,2606,4,1,287.06,0.62,61.68,284.50,182.59,27.56,263.27
2823,1997,55,3 - BSc/MSc,6006,1,0,580.99,0.10,496.65,94.45,53.01,8.78,23.67
2824,1981,28,3 - BSc/MSc,3726,1,1,128.25,0.79,320.95,176.70,194.48,39.34,15.89
2825,1991,40,3 - BSc/MSc,3583,4,1,43.69,0.89,379.07,23.35,152.03,28.56,16.78
2826,1989,62,3 - BSc/MSc,6701,3,1,266.61,0.48,333.62,13.90,149.14,25.56,42.01
2827,1995,71,1 - Basic,6171,3,0,558.99,0.43,123.69,516.20,297.50,55.90,29.56
2828,1996,43,4 - PhD,4696,2,1,317.98,0.36,424.97,-35.55,133.36,10.89,1.89
2829,1990,53,3 - BSc/MSc,5354,2,1,606.67,0.41,292.39,599.55,131.69,47.12,-5.00
2830,1975,75,3 - BSc/MSc,8648,2,0,357.95,0.43,257.05,94.45,226.82,31.45,56.79
2831,1991,26,2 - High School,2012,3,0,380.41,0.46,424.08,192.25,87.24,18.67,27.45
2832,1976,78,4 - PhD,8557,1,0,40.23,0.90,319.17,49.45,237.49,6.78,22.56
2833,1987,53,2 - High School,4528,1,1,417.54,0.20,464.42,-40.55,99.13,24.67,6.00
2834,1985,21,3 - BSc/MSc,1047,4,0,229.37,0.69,133.36,290.60,245.49,36.23,123.69
2835,1993,46,2 - High School,4995,4,1,408.98,0.21,473.98,-20.00,81.35,12.78,0.89
2836,1985,65,3 - BSc/MSc,7342,1,0,368.97,0.43,217.93,141.70,276.72,26.56,34.34
2837,1985,38,2 - High School,4059,1,1,152.81,0.78,225.60,285.60,219.93,16.78,64.57
2838,1988,49,3 - BSc/MSc,4413,1,1,375.63,0.44,411.30,157.80,114.02,10.67,26.45
2839,1978,67,3 - BSc/MSc,7957,1,0,95.24,0.83,232.82,113.35,315.17,18.67,25.56
2840,1990,62,2 - High School,8035,4,0,304.19,0.45,216.04,28.35,258.27,97.13,-4.11
2841,1996,68,1 - Basic,7086,3,0,307.85,0.50,106.91,116.70,230.60,138.47,77.68
2842,1981,40,3 - BSc/MSc,4017,3,1,-22.00,1.00,392.52,43.35,156.03,12.89,3.00
2843,1980,42,3 - BSc/MSc,4272,1,1,-47.67,1.03,463.42,103.90,91.35,1.89,24.56
2844,1980,26,3 - BSc/MSc,1850,4,1,613.00,0.19,406.30,231.70,113.91,11.67,23.78
2845,1977,25,1 - Basic,1523,1,1,406.64,0.43,155.25,215.60,265.94,61.90,60.79
2846,1993,32,1 - Basic,3703,2,1,438.88,0.54,86.24,543.45,213.04,86.46,79.57
2847,1977,50,2 - High School,4801,1,1,18.34,0.93,536.99,64.45,33.23,-0.11,-7.00
2848,1977,66,3 - BSc/MSc,6918,2,0,-79.01,1.08,312.17,97.80,143.25,54.01,50.01
2849,1996,48,1 - Basic,4550,2,1,441.31,0.29,424.97,68.90,81.57,42.34,41.34
2850,1977,20,2 - High School,1911,1,1,-28.90,1.01,93.35,79.45,188.59,83.35,217.82
2851,1979,42,1 - Basic,4464,2,1,-8.44,0.98,401.41,141.70,93.13,7.78,24.34
2852,1976,72,3 - BSc/MSc,6864,3,0,247.83,0.65,275.83,235.60,228.82,43.23,3.00
2853,1985,62,3 - BSc/MSc,6370,1,1,-25.00,1.00,360.18,236.15,129.58,11.78,36.23
2854,1989,24,2 - High School,2199,4,1,574.22,0.41,68.57,555.10,277.72,94.24,24.45
2855,1994,28,3 - BSc/MSc,2573,3,1,414.29,0.52,146.14,393.95,328.84,9.89,45.34
2856,1984,51,1 - Basic,4958,3,1,868.51,0.07,165.81,495.10,70.57,180.59,52.01
2857,1987,63,3 - BSc/MSc,5865,3,0,387.41,0.30,351.29,25.00,133.47,42.12,36.12
2858,1991,38,2 - High School,3649,4,1,313.74,0.50,293.61,116.70,194.48,41.34,30.23
2859,1980,55,3 - BSc/MSc,4403,4,1,97.46,0.82,473.31,93.90,81.46,-1.11,29.67
2860,1998,26,3 - BSc/MSc,2876,4,1,-17.11,0.99,247.27,127.80,264.94,7.89,53.23
2861,1996,62,2 - High School,6376,3,1,283.73,0.47,303.28,42.80,226.71,13.67,-4.11
2862,1994,70,4 - PhD,6829,4,0,-34.66,1.02,232.49,13.90,285.61,23.56,24.56
2863,1985,38,3 - BSc/MSc,5927,4,1,32.23,0.91,431.08,49.45,154.14,1.89,5.89
2864,1982,69,2 - High School,6723,1,0,283.50,0.56,170.70,137.80,339.73,40.23,12.89
2865,1976,52,3 - BSc/MSc,5705,3,0,427.66,0.15,547.77,-35.00,31.45,-7.00,-4.11
2866,1977,31,2 - High School,2876,4,1,222.27,0.63,256.27,88.35,270.94,30.56,21.56
2867,1985,71,3 - BSc/MSc,6976,1,0,-12.11,0.98,286.83,123.90,285.72,10.78,12.89
2868,1982,28,3 - BSc/MSc,2062,1,1,-112.68,1.12,141.25,187.80,340.51,41.34,46.34
2869,1982,42,3 - BSc/MSc,4543,4,1,-24.11,1.00,524.21,50.00,60.90,3.00,-2.11
2870,1991,45,3 - BSc/MSc,4113,2,1,-63.78,1.06,483.98,113.90,61.79,23.45,-5.11
2871,1979,56,3 - BSc/MSc,6639,4,1,434.42,0.25,425.97,39.45,109.80,16.67,22.67
2872,1995,44,2 - High School,3576,4,1,305.42,0.39,428.86,-30.55,108.91,14.78,22.56
2873,1983,24,3 - BSc/MSc,1751,4,0,331.29,0.62,55.79,471.20,300.28,6.78,114.91
2874,1982,29,2 - High School,2196,4,1,74.13,0.90,75.68,534.00,241.38,124.69,23.45
2875,1986,21,1 - Basic,2390,1,1,126.25,0.89,43.34,924.05,89.35,151.25,138.25
2876,1974,30,2 - High School,1513,2,1,74.90,0.86,315.06,108.90,216.04,54.12,9.00
2877,1995,63,2 - High School,6162,3,0,38.68,0.90,331.73,103.90,143.36,63.68,25.45
2878,1978,61,3 - BSc/MSc,7506,4,1,-24.89,1.00,407.52,127.80,118.69,27.56,27.67
2879,1990,32,1 - Basic,3046,2,1,60.46,0.92,150.36,543.45,175.59,31.45,116.91
2880,1976,72,3 - BSc/MSc,7034,2,0,556.43,0.30,315.28,266.15,103.13,93.24,56.12
2881,1996,72,2 - High School,7547,3,0,-141.91,1.11,109.02,569.55,216.04,23.56,140.47
2882,1982,52,3 - BSc/MSc,6785,4,1,529.44,0.14,561.44,64.45,16.67,2.00,-3.00
2883,1979,20,1 - Basic,1836,4,1,718.49,0.46,53.01,985.20,49.23,82.46,212.26
2884,1983,46,2 - High School,4705,4,1,439.31,0.30,323.95,63.90,163.03,92.35,15.89
